Realm,Area,Mob,Item,Slot,Type,Spell,Level,Damage,Timer,Fumble,Accuracy,Defense,Sigil,SigilLvl,Weight,Notes
Chaos,Fields of Mo'Serat,wildabeest,raccoon skin cap,head,cloth,,1,,,,,,,,4,
Chaos,Motapa Hills,grey wolf,black leather cap,head,leather,,1,,,,,,,,6,
Chaos,Motapa Hills,small silver wolf,cloak of white feathers,cloak,cloth,,1,,,,,normal,,,2,
Chaos,Motapa Hills,small silver wolf,bristly spider leggings,legs,cloth,,1,,,,,,,,6,
Chaos,Plains of Hevak,forest spider,defender's boots,feet,plate,,1,,,,,normal,,,14,
Chaos,Plains of Hevak,forest spider,wooden shield,shield,plate,,1,,,,,normal,,,24,
Chaos,Plains of Hevak,kobold anarchist,visored plate helm,head,plate,,1,,,,,normal,,,14,
Chaos,Plains of Hevak,kobold rebel leader,plain ivory dagger,weapon,thrust 1h,,1,small,,,normal,,,,5,
Chaos,Plains of Hevak,kobold rebel leader,wooden shield,shield,plate,,1,,,,,normal,,,24,
Chaos,Plains of Hevak,orc gypsy,defender's boots,feet,plate,,1,,,,,normal,,,14,
Chaos,Plains of Hevak,raging troll rebel,spider-filament cuisses,legs,leather,,1,,,,,normal,,,10,
Chaos,Plains of Hevak,raging troll rebel,midnight blue cloak,cloak,cloth,,1,,,,,normal,,,2,
Chaos,Plains of Hevak,renegade ogre warrior,small silver locket,jewel,,protect.i,1,,,,,,,,1,
Chaos,Ravenwood Marsh,giant acidic spore cloud,giant battleworn hammer,weapon,crush 2h,,1,good,3600,sometimes,normal,,,,13,
Chaos,Ravenwood Marsh,horned lizard,black bladed dagger,weapon,thrust 1h,,1,,,,,,,,4,
Chaos,Ravenwood Marsh,horned lizard,well oiled longbow,weapon,fired 2h,,1,,,,,,,,17,
Chaos,Ravenwood Marsh,huge swinging vine,pikeman's spear,weapon,thrust 2h,,1,good,,,normal,,,,13,
Chaos,Ravenwood Marsh,huge swinging vine,iron spear of vines,weapon,direct thrust 2h,vine.grasp.i,1,small,,sometimes,normal,,,,10,
Chaos,Ravenwood Marsh,parasitic guardian,berzerker's axe,weapon,slash 2h,,1,,,,,,,,13,
Chaos,Ravenwood Marsh,twisted floating log,well oiled longbow,weapon,fired 2h,,1,,,,,,,,17,
Chaos,Sea of Grass,black locust,barbarian's cap,head,plate,,1,,,,,,,,14,
Chaos,Sea of Grass,earth wisp,black plate armor,body,plate,,1,,,,,normal,,,23,
Chaos,Sea of Grass,speckled warthog,speckled hogskin gloves,hands,leather,,1,,,,,normal,,,6,
Chaos,Sea of Grass,Spirit of Life,essence of life,jewel,,agility.i,1,,,,,,,,1,
Chaos,Sea of Grass,wealthy merchant,faded brown robes,body,cloth,,1,,,,,normal,,,8,
Chaos,Sea of Grass,wealthy merchant,silver trinket,jewel,,,1,,,,,,shock,,1,
Chaos,Tenebrous Hollow,exquisite golden butterfly,golden ring,jewel,,shield.i,1,,,,,,,,1,
Chaos,Tenebrous Hollow,vigilant wood owl,gauntlets of vigilence,hands,plate,,1,,,,,,,,14,
Chaos,Tenebrous Hollow,,legionnaire's grasps,hands,plate,,1,,,,,normal,,,14,
Chaos,Wretched Forest,casrielle,polished steel quarter staff,weapon,crush 2h,,1,,,,,,,,,
Chaos,Wretched Forest,guardian knight,battered knight's boots,feet,plate,,1,,,,,normal,,,14,
Chaos,Wretched Forest,wyddren,tower shield,shield,plate,,1,,,,,normal,,,24,
Chaos,Wretched Forest,wyddren,wyddren hide pants,legs,leather,,1,,,,,normal,,,10,
Chaos,Wretched Forest,zerynd'l,tower shield,shield,plate,,1,,,,,normal,,,24,
Chaos,,,olive-streaked boots,feet,plate,,1,,,,,,,,14,
Chaos,,,black fox pelt,head,leather,,1,,,,,,,,6,obsolete
Chaos,,,black spider-silk tunic,body,cloth,,1,,,,,,,,8,
Chaos,,,pair of soft slippers,feet,cloth,,1,,,,,normal,,,4,
Chaos,,,black bandana,head,cloth,,1,,,,,normal,,,4,
Event,Christmas 2019 and 2020,sugar crazed elf,scruffy elf hat,head,cloth,minor.cold.protect,1,,,,,,,,4,
Event,Valentine's Day 2022,,dagger of the first crusade,weapon,offhand thrust 1h,,1,small,,rarely,better,,fire,1,3,
Event,Valentine's Day 2022,,depreciated blade of battle,weapon,offhand slash 1h,,1,small,,rarely,better,,lightning,1,4,
Event,Valentine's Day 2022,,inherited recurve bow,weapon,fired 2h,,1,good,,sometimes,better,,earth,1,13,boss
Event,Valentine's Day 2022,,staff of elemental tutelage,weapon,direct crush 2h,staff.of.tutelage,1,small,,sometimes,normal,,fire,1,13,
Event,Valentine's Day 2022,,broken-hearted juggernaut maul,weapon,crush 2h,,1,good,,sometimes,better,,cold,1,13,
Evil,Grasslands,mantis,hauberk of the mantis,body,plate,,1,,,,,,,,23,
Evil,Grasslands,orc bandit,orc hide boots,feet,leather,,1,,,,,,,,6,
Evil,Grasslands,orc bandit,black leather cap,head,leather,,1,,,,,,,,6,
Evil,Grasslands,orc bandit,silver and blue cloak,cloak,cloth,,1,,,,,,,,2,
Evil,Grasslands,orc bandit,deer-skin gloves,hands,cloth,,1,,,,,,,,4,
Evil,Greenmist Forest,small dog,midnight blue cloak,cloak,cloth,,1,,,,,normal,,,2,
Evil,Greenmist Forest,traveler,cured leather armor,body,leather,,1,,,,,normal,,,12,
Evil,Greenmist Palisades,grim citizen,scarlet mesh cloak,cloak,studded,,1,,,,,normal,,,7,
Evil,Greenmist Palisades,Guard Captain Ricker,Tamian black buckler,shield,plate,agility.i,1,,,,,normal,,,24,boss
Evil,Greenmist Palisades,Tamian mageling,spidersilk hood,head,cloth,,1,,,,,normal,,,4,
Evil,Greenmist Palisades,Tamian refugee,liquid dagger,weapon,thrust 1h,,1,,,,,,water,1,,
Evil,Greenmist Palisades,Tamian refugee,superior two-handed axe,weapon,slash 2h,,1,,,,,,,,,
Evil,Greenmist Palisades,Tamian refugee,scimitar,weapon,slash 1h,,1,,,,,,,,,
Evil,Greenmist Palisades,Tamian refugee,defender's boots,feet,plate,,1,,,,,normal,,,14,
Evil,Greenmist Palisades,Tamian refugee,broadsword,weapon,offhand slash 1h,,1,small,,sometimes,normal,,,,7,
Evil,Greenmist Palisades,Tamian refugee,old dwarven two-handed mace,weapon,crush 2h,,1,good,,sometimes,worse,,,,13,
Evil,Greenmist Palisades,Tamian refugee,faded brown robes,body,cloth,,1,,,,,worse,,,8,
Evil,Greenmist Palisades,Tamian refugee,pair of cloth boots,feet,cloth,,1,,,,,,,,4,
Evil,Greenmist Palisades,tattered deserter,worn leather chaps,legs,leather,,1,,,,,normal,,,11,
Evil,Greenmist Palisades,twisted stump,deadman's cleaver,weapon,slash 1h,,1,small,,,normal,,,,5,
Evil,Greenmist Palisades,,small silver earring,jewel,,blur.i,1,,,,,,,,1,
Evil,Hive,guardian lightning bug,silk velvet boots,feet,cloth,,1,,,,,normal,,,4,
Evil,Hive,hook worm,half-eaten leather boots,feet,leather,,1,,,,,normal,,,6,
Evil,Hive,massive mud beetle,slime-covered pants,legs,cloth,,1,,,,,,,,6,
Evil,Hive,velvet worm,velvet boots,feet,cloth,,1,,,,,,,,4,
Evil,Hive,,beetle shell shield,shield,plate,,1,,,,,,,,24,
Evil,Northern Wharves,sentry,pair of plate greaves,legs,plate,,1,,,,,,,,19,
Evil,Northern Wharves,Tamian peasant,pair of plate greaves,legs,plate,,1,,,,,,,,19,
Evil,Northern Wharves,Tamian smith,pair of plate greaves,legs,plate,,1,,,,,,,,19,
Evil,Rowangroves,dancing azure light,wooden shield,shield,plate,,1,,,,,normal,,,24,
Evil,Rowangroves,dancing azure light,small silver locket,jewel,,protect.i,1,,,,,,,,1,
Evil,Rowangroves,dancing ruby light,pair of raw-steel leggings,legs,plate,,1,,,,,,,,19,
Evil,Rowangroves,pixie guard,sigil laced leather hauberk,body,leather,,1,,,,,normal,,,12,
Evil,Rowangroves,spriggan warrior,scarlet mesh kilt,legs,studded,,1,,,,,normal,,,13,
Evil,Rowangroves,stick man,scarlet mesh gauntlets,hands,studded,,1,,,,,normal,,,9,
Evil,Rowangroves,stick man,leather jerkin,body,leather,,1,,,,,normal,,,12,
Evil,Rowangroves,whipping willow,visored plate helm,head,plate,,1,,,,,normal,,,14,
Evil,Spider Caves,brown spider,scarlet mesh boots,feet,studded,,1,,,,,normal,,,9,
Evil,Spider Caves,brown spider,purple spidersilk cloak,cloak,cloth,,1,,,,,,,,2,
Evil,Spider Caves,brown spider,dark headband,head,cloth,,1,,,,,normal,,,4,
Evil,Spider Caves,brown spider,bristly spider leggings,legs,cloth,,1,,,,,,,,6,
Evil,Spider Caves,brown spider,spidersilk skirt,legs,cloth,,1,,,,,normal,,,6,
Evil,Spider Caves,cave spider,bristly spider leggings,legs,cloth,,1,,,,,,,,6,
Evil,Spider Caves,cave spider,amulet of sapphire,jewel,,,1,,,,,,cold,,1,
Evil,Spider Caves,large rat,scarlet mesh skullcap,head,studded,,1,,,,,normal,,,9,
Evil,Spider Caves,large rat,black fox pelt,head,leather,,1,,,,,,,,6,
Evil,Spider Caves,large rat,cloak of white feathers,cloak,cloth,,1,,,,,normal,,,2,
Evil,Spider Caves,large rat,black bandana,head,cloth,,1,,,,,,,,4,
Evil,Spider Caves,scared explorer,pair of raw-steel leggings,legs,plate,,1,,,,,,,,19,
Evil,Spider Caves,small arachnid,spider-filament cuisses,legs,leather,,1,,,,,normal,,,11,
Evil,Spider Caves,small arachnid,bristly spider leggings,legs,cloth,,1,,,,,,,,6,
Evil,Spider Caves,tiny spider,black spider-silk tunic,body,cloth,,1,,,,,,,,8,
Evil,Spider Caves,tiny spider,purple spidersilk cloak,cloak,cloth,,1,,,,,,,,2,
Evil,Tamia Local,bramble caltrop,steelbound gauntlets,hands,plate,,1,,,,,,,,14,
Evil,Tamia Local,farmer,two-handed sword,weapon,slash 2h,,1,good,3500,sometimes,normal,,,,12,
Evil,Tamia Local,farmer,short sword,weapon,slash 1h,,1,,,,,,,,6,
Evil,Tamia Local,farmer,broken wheelbarrow drum,shield,leather,,1,,,,,normal,,,12,
Evil,Tamia Local,farmer,raccoon skin cap,head,cloth,,1,,,,,,,,4,
Evil,Tamia Local,gaunt forager,defender's boots,feet,plate,,1,,,,,normal,,,14,
Evil,Tamia Local,gaunt forager,strong pair of leather boots,feet,leather,,1,,,,,,,,6,
Evil,Tamia Local,grim citizen,black plate armor,body,plate,,1,,,,,normal,,,23,
Evil,Tamia Local,grim citizen,cured leather armor,body,leather,,1,,,,,normal,,,12,
Evil,Tamia Local,grim citizen,wooden club,weapon,crush 1h,,1,,3100,,,,,,,
Evil,Tamia Local,poor peasant,black bladed dagger,weapon,thrust 1h,,1,small,,rarely,better,,,,5,
Evil,Tamia Local,poor peasant,butcher's axe,weapon,slash 1h,,1,small,,,normal,,,,7,
Evil,Tamia Local,razor leaf,fine two-handed axe,weapon,slash 2h,,1,good,3500,sometimes,normal,,,,11,
Evil,Tamia Local,razor leaf,black studded leather pants,legs,leather,,1,,,,,normal,,,11,
Evil,Tamia Local,small dog,flanged mace,weapon,offhand crush 1h,,1,small,,rarely,worse,,,,4,
Evil,Tamia Local,small dog,giant battleworn hammer,weapon,crush 2h,,1,good,3600,sometimes,normal,,,,13,
Evil,Tamia Local,tattered deserter,long skullhead staff,weapon,parry staff,,1,small,3500,sometimes,normal,normal,,,18,
Evil,Tamia Local,tattered deserter,spidersilk hood,head,cloth,,1,,,,,normal,,,4,
Evil,Tamia Local,traveler,pikeman's spear,weapon,thrust 2h,,1,good,3899,sometimes,normal,,,,15,
Evil,Tamia Local,traveler,flanged mace,weapon,offhand crush 1h,,1,small,,rarely,worse,,,,4,
Evil,Tamia Local,traveler,tribal cloth moccasins,feet,cloth,,1,,,,,normal,,,4,
Evil,Tamia Local,twig effigy,ironbark crusher,weapon,crush 2h,,1,,,,,,,,12,
Evil,Tamia Local,wandering merchant,short sword,weapon,slash 1h,,1,,,,,,,,6,
Evil,Tamia Local,wandering merchant,olive-streaked boots,feet,plate,,1,,,,,normal,,,14,
Evil,Tamia Local,wandering merchant,well oiled longbow,weapon,fired 2h,,1,good,4200,sometimes,normal,,,,17,
Evil,Tamia Local,wandering merchant,well oiled longbow,weapon,fired 2h,,1,,4200,,,,,,17,
Evil,Tamia Local,wandering merchant,charred staff,weapon,direct crush 2h,charred.staff,1,small,,,,,,,7,
Evil,Tamia Local,wandering merchant,giant battleworn hammer,weapon,crush 2h,,1,good,3600,sometimes,normal,,,,13,
Evil,Tamian Foothills,diseased rat,pair of raw-steel leggings,legs,plate,,1,,,,,,,,19,
Evil,Tamian Foothills,diseased rat,black bandana,head,cloth,,1,,,,,,,,4,
Evil,Tamian Foothills,Tamian Trapper,strong pair of leather boots,feet,leather,,1,,,,,,,,6,
Evil,Valley of Zden,bandit archer,fading leather pants,legs,leather,,1,,,,,normal,,,10,
Evil,Valley of Zden,bandit archer,green and brown tunic,body,cloth,,1,,,,,normal,,,8,
Evil,Valley of Zden,bandit lieutenant,bandit's gloves,hands,leather,,1,,,,,worse,,,6,
Evil,Village of Reilyn,drunken villager,legionnaire's grasps,hands,plate,,1,,,,,normal,,,14,
Evil,Village of Reilyn,drunken villager,silver and blue gloves,hands,cloth,,1,,,,,normal,,,4,
Evil,Village of Reilyn,frightened woman,dark headband,head,cloth,,1,,,,,normal,,,4,
Evil,Village of Reilyn,Niordian defender,squire's steel chestpiece,body,plate,,1,,,,,,,,23,
Evil,Village of Reilyn,Reilyn peddler,visored plate helm,head,plate,,1,,,,,normal,,,14,
Evil,Village of Reilyn,Reilyn peddler,woven bamboo sandals,feet,leather,,1,,,,,,,,6,
Evil,Village of Reilyn,Reilyn peddler,silver and blue gloves,hands,cloth,,1,,,,,normal,,,4,
Evil,Village of Reilyn,Reilyn peddler,golden ring,jewel,,shield.i,1,,,,,,,,1,
Evil,Village of Reilyn,scared villager,visored plate helm,head,plate,,1,,,,,normal,,,14,
Evil,Village of Reilyn,scared villager,shocking greatsword,weapon,direct slash 2h,jolting.slash.i,1,small,3600,sometimes,normal,,,,13,
Evil,Village of Reilyn,Tamian mage,silver and blue cloak,cloak,cloth,,1,,,,,,,,2,
Evil,Village of Reilyn,Tamian pickpocket,pair of tempered boots,feet,plate,,1,,,,,normal,,,14,
Evil,Village of Reilyn,Vestan cleric,silver and blue cloak,cloak,cloth,,1,,,,,,,,2,
Evil,Western Tamia,guard recruit,black leather gloves,hands,leather,,1,,,,,,,,6,
Evil,Western Tamia,Shop,sturdy leather armor,body,leather,,1,,,,,,,,12,
Evil,Western Tamia,Shop,well-oiled leather cloak,cloak,leather,,1,,,,,,,,4,
Evil,Western Tamia,Shop,pair of knee-high leather boots,feet,leather,,1,,,,,,,,6,
Evil,Western Tamia,Shop,pair of embossed leather gloves,hands,leather,,1,,,,,,,,6,
Evil,Western Tamia,Shop,sleek leather helmet,head,leather,,1,,,,,normal,,,6,
Evil,Western Tamia,Shop,pair of rugged leather leggings,legs,leather,,1,,,,,,,,11,
Evil,Western Tamia,Shop,small leather shield,shield,leather,,1,,,,,,,,12,
Evil,Western Tamia,Shop,well oiled longbow,weapon,fired 2h,,1,,4200,,,,,,17,
Evil,Western Tamia,Tamian merchant,deer-skin boots,feet,cloth,,1,,,,,,,,4,
Evil,,,heavy mail cloak,cloak,plate,,1,,,,,,,,11,
Evil,,,barbarian's cap,head,plate,,1,,,,,,,,14,
Evil,,,helmet of tough carapace,head,plate,,1,,,,,,,,14,
Evil,,,bardic leather pants,legs,leather,,1,,,,,,,,11,
Evil,,,fitted silk slippers,feet,cloth,,1,,,,,,,,4,
Good,Azure Rainforest,boar,barbarian's cap,head,plate,,1,,,,,,,,14,
Good,Azure Rainforest,gorilla,military chestpiece,body ,plate,,1,,,,,better,,,23,
Good,Azure Rainforest,gorilla,wooden shield,shield,plate,,1,,,,,normal,,,24,
Good,Azure Rainforest,gorilla,faded brown robes,body,cloth,,1,,,,,worse,,,8,
Good,Azure Rainforest,hippopotamus,rough salamander skin gloves,hands,leather,,1,,,,,worse,,,6,
Good,Azure Rainforest,hippopotamus,cotton faded brown robes,body,cloth,,1,,,,,normal,,,8,
Good,Azure Rainforest,large black spider,spidersilk hood,head,cloth,,1,,,,,normal,,,4,
Good,Azure Rainforest,large snapping turtle,pair of rustbound gauntlets,hands,plate,,1,,,,,normal,,,14,
Good,Azure Rainforest,rhinoceros,wooden shield,shield,plate,,1,,,,,normal,,,24,
Good,Bladegrass,armadillo,fine two-handed axe,weapon,slash 2h,,1,good,,,normal,,,,12,
Good,Bladegrass,gopher,visored plate helm,head,plate,,1,,,,,normal,,,14,
Good,Bladegrass,"large, grey tortoise",deadman's cleaver,weapon,slash 1h,,1,small,,,normal,,,,5,
Good,Bladegrass,"large, grey tortoise",feathered longbow,weapon,fired 2h,,1,good,3500,sometimes,normal,,,,12,
Good,Bladegrass,yellow bee,sparking dagger,weapon,thrust 1h,,1,small,,rarely,normal,,lightning,1,3,
Good,Bladegrass,yellow bee,visored plate helm,head,plate,,1,,,,,normal,,,14,
Good,Bladegrass,,yellowjacket stinger claw,weapon,claw,,1,small,,never,,,shock,0,3,
Good,Carendel,jungle explorer ,azure jewel encrusted gavel,weapon ,direct crush 1h,crisp.frost.crush,1,small,,rarely,normal,,,,4,
Good,Carendel,master craftsman,sturdy iron helm,head,plate,,1,,,,,worse,,,14,
Good,Carendel,Shop,massive greatsword of giant slaying,weapon,slash 2h,,1,,,,,,pain,1,15,
Good,Carendel Nobles Graveyard,dark tamian priest,strong leather chest piece,body,leather,,1,,,,,,,,12,
Good,Carendel Nobles Graveyard,dark tamian priest,pair of blue silk boots,feet,cloth,,1,,,,,normal,,,4,
Good,Carendel Nobles Graveyard,grieving zombie widower,squire's chestpiece,body,plate,,1,,,,,normal,,,23,
Good,Carendel Nobles Graveyard,grieving zombie widower,legionnaire's grasps,hands,plate,,1,,,,,normal,,,14,
Good,Carendel Nobles Graveyard,grieving zombie widower,small silver locket,jewel,,protect.i,1,,,,,,,,1,
Good,Carendel Nobles Graveyard,murdering gravedigger,worn leather chaps,legs,leather,,1,,,,,,,,11,
Good,Carendel Potter's Field,cantankerous pall bearer,pair of plate greaves,legs,plate,,1,,,,,much better,,,19,
Good,Carendel Potter's Field,cantankerous pall bearer,jagged scimitar,weapon,offhand slash 1h,,1,small,,rarely,normal,,,,4,
Good,Carendel Potter's Field,cantankerous pall bearer,pair of cloth gloves,hands,cloth,,1,,,,,normal,,,4,
Good,Carendel Potter's Field,creeping hand,pikeman's spear,weapon,thrust 2h,,1,good,,sometimes,normal,,,,15,
Good,Carendel Potter's Field,creeping hand,black bladed dagger,weapon,offhand thrust 1h,,1,small,,rarely,better,,,,5,
Good,Carendel Potter's Field,creeping hand,wooden club,weapon,offhand crush 1h,,1,small,,sometimes,worse,,,,5,
Good,Carendel Potter's Field,creeping hand,apothecary spellstaff,weapon,direct crush 2h,apo.spellstaff,1,small,,sometimes,normal,,,,11,
Good,Carendel Potter's Field,"drunken, lazy gravedigger",pair of plate greaves,legs,plate,,1,,,,,much better,,,19,
Good,Carendel Potter's Field,"drunken, lazy gravedigger",worn leather chaps,legs,leather,,1,,,,,,,,11,
Good,Carendel Potter's Field,"drunken, lazy gravedigger",pair of cloth boots,feet,cloth,,1,,,,,normal,,,4,
Good,Carendel Potter's Field,murdering gravedigger,azure ringmail leggings,legs,studded,,1,,,,,better,,,13,
Good,Carendel Potter's Field,murdering gravedigger,gravedigger shovel,weapon,crush 2h,,1,small,,sometimes,normal,,earth,1,10,
Good,Carendel Potter's Field,murdering gravedigger,war hammer,weapon,crush 2h,,1,good,,sometimes,normal,,,,12,
Good,Carendel Potter's Field,murdering gravedigger,silver and blue cloak,cloak,cloth,,1,,,,,normal,,,2,
Good,Carendel Potter's Field,skunk,black leather cap,head,leather,,1,,,,,better,,,6,
Good,Carendel Potter's Field,skunk,worn leather chaps,legs,leather,,1,,,,,better,,,11,
Good,Carendel Potter's Field,skunk,spidersilk skirt,legs,cloth,,1,,,,,normal,,,6,
Good,Forests of Shalifi's Demise,bullfrog,spear of vines,weapon,direct thrust 2h,vine.grasp.i,1,small,,sometimes,normal,,,,10,
Good,Forests of Shalifi's Demise,forest bandit,raccoon skin cap,head,cloth,,1,,,,,normal,,,4,
Good,Forests of Shalifi's Demise,forest elf,fancy blue tights,legs,cloth,,1,,,,,,,,6,
Good,Forests of Shalifi's Demise,tree lizard,rough strong pair of leather boots,feet,leather,,1,,,,,worse,,,6,
Good,Forests of Shalifi's Demise,woodcutter,visored plate helm,head,plate,,1,,,,,,,,14,
Good,Forests of Shalifi's Demise,woodcutter,golden ring,jewel,,shield.i,1,,,,,,,,1,
Good,Forests of Shalifi's Demise,,gloves of the deep forest,hands,leather,,1,,,,,,,,6,
Good,Forests of Shalifi's Demise - Shaft,forest elf elder,olive-streaked boots,feet,plate,,1,,,,,normal,,,14,
Good,Forests of Shalifi's Demise - Shaft,forest elf elder,rough gloves of the deep forest,hands,leather,,1,,,,,normal,,,6,
Good,Forests of Shalifi's Demise - Shaft,forest elf ranger,olive-streaked boots,feet,plate,,1,,,,,normal,,,14,
Good,Forests of Shalifi's Demise - Shaft,Shalifi,Shalifi's camouflage cape,cloak,cloth,agility.i,1,,,,,normal,,,3,
Good,Grazzt's Refuge,blurry bandit chamelon,black plate armor,body,plate,,1,,,,,normal,,,23,
Good,Grazzt's Refuge,camouflaged bandit chameleon,defender's boots,feet,plate,,1,,,,,normal,,,14,
Good,Grazzt's Refuge,camouflaged bandit chameleon,band of yellow gold,jewel,,,1,,,,,,lightning,,1,
Good,Grazzt's Refuge,filthy troll beggar,black leather gloves,hands,leather,,1,,,,,,,,6,
Good,Grazzt's Refuge,green rogue chameleon,chameleon skin cloak,cloak,cloth,,1,,,,,normal,,,2,
Good,Grazzt's Refuge,grubby street rat,charred staff,weapon,direct crush 2h,charred.staff,1,small,,,,,,,7,
Good,Grazzt's Refuge,hulking ogre ruffian,jaw of an ogre,head,plate,,1,,,,,normal,,,14,
Good,Grazzt's Refuge,kobold thief,black leather gloves,hands,leather,,1,,,,,,,,6,
Good,Grazzt's Refuge,kobold thief,green and brown tunic,body,cloth,,1,,,,,worse,,,8,
Good,Grazzt's Refuge,ogre bandit,black bandana,head,cloth,,1,,,,,,,,4,
Good,Grazzt's Refuge,pale assassin chamelon,pale assassin's cloak,cloak,cloth,,1,,,,,normal,,,2,
Good,Grazzt's Refuge,razor-back chameleon,black plate armor,body,plate,,1,,,,,normal,,,23,
Good,Miller's Pointe,sea hermit,teardrop earring,jewel,,???,1,,,,,,water,1,1,
Good,Mountain Caves,dark goblin,midnight black boots,feet,plate,,1,,,,,normal,,,14,
Good,Myrobi Hills,,black fox pelt,head,leather,,1,,,,,,,,6,
Good,Remorse Mountains,lesser ogre,tower shield,shield,plate,,1,,,,,normal,,,24,
Good,Remorse Mountains,renegade dwarf,dwarven forged legplates,legs,plate,,1,,,,,normal,,,19,
Good,Wildwood,bristlecone pine,wild leather boots,feet,leather,,1,,,,,normal,,,6,
Good,Wildwood,bristlecone pine,deer-skin gloves,hands,cloth,,1,,,,,normal,,,4,
Good,Wildwood,giant mink,deer-skin gloves,hands,cloth,,1,,,,,normal,,,4,
Good,Wildwood,giant moose,azure ringmail leggings,legs,studded,,1,,,,,normal,,,13,
Good,Wildwood,giant moose,moose horn helmet,head,leather,,1,,,,,normal,,,6,
Good,Wildwood,giant moose,deer-skin gloves,hands,cloth,,1,,,,,normal,,,4,
Good,Wildwood,giant screech owl,azure ringmail coif,head,studded,,1,,,,,normal,,,9,
Good,Wildwood,giant screech owl,wild leather boots,feet,leather,,1,,,,,worse,,,6,
Good,,,pikeman's spear,weapon,thrust 2h,,1,good,,,normal,,,,13,
Good,,,black bladed dagger,weapon,thrust 1h,,1,,,,,,,,4,
Good,,,berzerker's axe,weapon,slash 2h,,1,,,,,,,,13,
Good,,,fine two-handed axe,weapon,slash 2h,,1,good,,,normal,,,,11,
Good,,,black leather cap,head,leather,,1,,,,,,,,6,
Good,,,bardic leather pants,legs,leather,,1,,,,,,,,11,
Good,,,cloak of black-winged hawk feathers,cloak,cloth,,1,,,,,,,,2,
Good,,,pair of cloth gloves,hands,cloth,,1,,,,,,,,4,
Good,,,golden ring,jewel,,shield.i,1,,,,,,,,1,
Good,,,small silver earring,jewel,,blur.i,1,,,,,,,,1,
,Training Academy,,claw of the initiate,weapon,claw,,1,small,2500,never,better,,fire,0,3,
